Country,GDP Per Capita,Per Day Cost
Chad,"2,500",6.849315068
Yemen,"2,500",6.849315068
Kyrgyzstan,"2,500",6.849315068
Cameroon,"2,400",6.575342466
Tajikistan,"2,300",6.301369863
Sao Tome and Principe,"2,200",6.02739726
Lesotho,"2,200",6.02739726
Mauritania,"2,200",6.02739726
Bangladesh,"2,100",5.753424658
Senegal,"2,100",5.753424658
"Gambia, The","2,000",5.479452055
Cote d Ivoire,"1,800",4.931506849
Kenya,"1,800",4.931506849
North Korea,"1,800",4.931506849
Zambia,"1,800",4.931506849
Myanmar,"1,700",4.657534247
Tanzania,"1,700",4.657534247
Benin,"1,600",4.383561644
Rwanda,"1,500",4.109589041
Burkina Faso,"1,500",4.109589041
Sierra Leone,"1,400",3.835616438
Uganda,"1,400",3.835616438
Comoros,"1,300",3.561643836
Haiti,"1,300",3.561643836
Nepal,"1,300",3.561643836
Ethiopia,"1,200",3.287671233
Guinea-Bissau,"1,200",3.287671233
Mozambique,"1,200",3.287671233
Afghanistan,"1,100",3.01369863
Guinea,"1,100",3.01369863
Mali,"1,100",3.01369863
Togo,"1,100",3.01369863
Madagascar,"1,000",2.739726027
South Sudan,"1,000",2.739726027
Tokelau,"1,000",2.739726027
Malawi,900,2.465753425
Central African Republic,800,2.191780822
Eritrea,800,2.191780822
Niger,800,2.191780822
Liberia,700,1.917808219
Burundi,600,1.643835616
Somalia,600,1.643835616
Zimbabwe,600,1.643835616
Democratic Republic of Congo,400,1.095890411
